Date, Open, High, Low, Close
04/27/17, 24663.10, 24717.44, 24455.12, 24698.48
04/26/17, 24563.25, 24637.85, 24515.23, 24578.43
04/25/17, 24204.78, 24455.94, 24201.91, 24455.94
04/24/17, 24185.76, 24206.44, 23958.18, 24139.48
04/21/17, 24143.04, 24190.14, 23991.87, 24042.02
04/20/17, 23851.02, 24058.87, 23827.07, 24056.98
04/19/17, 23875.98, 23893.14, 23723.87, 23825.88
04/18/17, 24268.17, 24276.31, 23892.59, 23924.54
04/13/17, 24173.42, 24378.38, 24158.16, 24261.66
04/12/17, 24068.91, 24313.50, 23994.13, 24313.50
